,sentence,label,type
0,a haunted house   whatever hour you woke there was a door shutting ,0,val
1,from room to room they went  hand in hand  lifting here  opening there  making sure  a ghostly couple ,0,train
2, here we left it   she said ,0,train
3,and he added   oh  but here too  ,0,test
4, it s upstairs   she murmured ,0,val
5, and in the garden   he whispered ,0,test
6, quietly   they said   or we shall wake them  ,0,train
7,but it wasn t that you woke us ,0,train
8,oh  no ,0,train
9, they re looking for it  they re drawing the curtain   one might say  and so read on a page or two ,0,train
10, now they ve found it   one would be certain  stopping the pencil on the margin ,0,train
11,and then  tired of reading  one might rise and see for oneself  the house all empty  the doors standing open  only the wood pigeons bubbling with content and the hum of the threshing machine sounding from the farm ,0,train
12, what did i come in here for ,0,train
13,what did i want to find  ,0,train
14,my hands were empty ,0,train
15, perhaps it s upstairs then  ,0,train
16,the apples were in the loft ,0,train
17,and so down again  the garden still as ever  only the book had slipped into the grass ,0,test
18,but they had found it in the drawing room ,0,test
19,not that one could ever see them ,0,train
20,the window panes reflected apples  reflected roses  all the leaves were green in the glass ,0,train
21,if they moved in the drawing room  the apple only turned its yellow side ,0,test
22,yet  the moment after  if the door was opened  spread about the floor  hung upon the walls  pendant from the ceiling  what ,0,train
23,my hands were empty ,0,train
24,the shadow of a thrush crossed the carpet  from the deepest wells of silence the wood pigeon drew its bubble of sound ,0,test
25, safe  safe  safe   the pulse of the house beat softly ,0,val
26, the treasure buried  the room      the pulse stopped short ,0,train
27,oh  was that the buried treasure ,0,val
28,a moment later the light had faded ,0,val
29,out in the garden then ,0,train
30,but the trees spun darkness for a wandering beam of sun ,0,train
31,so fine  so rare  coolly sunk beneath the surface the beam i sought always burnt behind the glass ,0,train
32,death was the glass  death was between us  coming to the woman first  hundreds of years ago  leaving the house  sealing all the windows  the rooms were darkened ,0,train
33,he left it  left her  went north  went east  saw the stars turned in the southern sky  sought the house  found it dropped beneath the downs ,0,train
34, safe  safe  safe   the pulse of the house beat gladly ,0,train
35, the treasure yours  ,0,train
36,the wind roars up the avenue ,0,train
37,trees stoop and bend this way and that ,0,test
38,moonbeams splash and spill wildly in the rain ,0,test
39,but the beam of the lamp falls straight from the window ,0,train
40,the candle burns stiff and still ,0,train
41,wandering through the house  opening the windows  whispering not to wake us  the ghostly couple seek their joy ,0,val
42, here we slept   she says ,0,train
43,and he adds   kisses without number  ,0,val
44, waking in the morning     silver between the trees     upstairs     in the garden     when summer came     in winter snowtime    the doors go shutting far in the distance  gently knocking like the pulse of a heart ,0,train
45,nearer they come  cease at the doorway ,0,val
46,the wind falls  the rain slides silver down the glass ,0,train
47,our eyes darken  we hear no steps beside us  we see no lady spread her ghostly cloak ,0,train
48,his hands shield the lantern ,0,train
49, look   he breathes ,0,train
50, sound asleep ,0,val
51,love upon their lips  ,0,train
52,stooping  holding their silver lamp above us  long they look and deeply ,0,test
53,long they pause ,0,train
54,the wind drives straightly  the flame stoops slightly ,0,train
55,wild beams of moonlight cross both floor and wall  and  meeting  stain the faces bent  the faces pondering  the faces that search the sleepers and seek their hidden joy ,0,train
56, safe  safe  safe   the heart of the house beats proudly ,0,train
57, long years    he sighs ,0,train
58, again you found me  ,0,train
59, here   she murmurs   sleeping  in the garden reading  laughing  rolling apples in the loft ,0,val
60,here we left our treasure    stooping  their light lifts the lids upon my eyes ,0,train
61, safe ,0,train
62,safe ,0,val
63,safe  ,0,val
64,the pulse of the house beats wildly ,0,test
65,waking  i cry  oh  is this  your  buried treasure ,0,train
66,the light in the heart  ,0,train
67,a society   this is how it all came about ,0,train
68,six or seven of us were sitting one day after tea ,0,train
69,some were gazing across the street into the windows of a milliner s shop where the light still shone brightly upon scarlet feathers and golden slippers ,0,train
70,others were idly occupied in building little towers of sugar upon the edge of the tea tray ,0,val
71,after a time  so far as i can remember  we drew round the fire and began as usual to praise men  how strong  how noble  how brilliant  how courageous  how beautiful they were  how we envied those who by hook or by crook managed to get attached to one for life  when poll  who had said nothing  burst into tears ,0,val
72,poll  i must tell you  has always been queer ,0,train
73,for one thing her father was a strange man ,0,train
74,he left her a fortune in his will  but on condition that she read all the books in the london library ,0,train
75,we comforted her as best we could  but we knew in our hearts how vain it was ,0,train
76,for though we like her  poll is no beauty  leaves her shoe laces untied  and must have been thinking  while we praised men  that not one of them would ever wish to marry her ,0,val
77,at last she dried her tears ,0,test
78,for some time we could make nothing of what she said ,0,train
79,strange enough it was in all conscience ,0,test
80,she told us that  as we knew  she spent most of her time in the london library  reading ,0,val
81,she had begun  she said  with english literature on the top floor  and was steadily working her way down to the  times  on the bottom ,0,train
82,and now half  or perhaps only a quarter  way through a terrible thing had happened ,0,train
83,she could read no more ,0,train
84,books were not what we thought them ,0,val
85, books   she cried  rising to her feet and speaking with an intensity of desolation which i shall never forget   are for the most part unutterably bad  ,0,train
86,of course we cried out that shakespeare wrote books  and milton and shelley ,0,val
87, oh  yes   she interrupted us ,0,train
88, you ve been well taught  i can see ,0,train
89,but you are not members of the london library  ,0,val
90,here her sobs broke forth anew ,0,train
91,at length  recovering a little  she opened one of the pile of books which she always carried about with her   from a window  or  in a garden   or some such name as that it was called  and it was written by a man called benton or henson  or something of that kind ,0,train
92,she read the first few pages ,0,train
93,we listened in silence ,0,train
94, but that s not a book   someone said ,0,test
95,so she chose another ,0,train
96,this time it was a history  but i have forgotten the writer s name ,0,val
